-	f/1.8	f/2	f/2.2	f/2.5	f/2.8	f/3.2	f/3.5	f/4	f/4.5	f/5	f/5.6	f/6.3	f/7.1	f/8
3.0'	0.08'	0.08'	0.09'	0.10'	0.12'	0.13'	0.14'	0.16'	0.18'	0.20'	0.22'	0.25'	0.28'	0.31'
3.8'	0.12'	0.14'	0.15'	0.17'	0.19'	0.21'	0.23'	0.26'	0.29'	0.32'	0.36'	0.40'	0.44'	0.49'
4.9'	0.20'	0.22'	0.24'	0.27'	0.30'	0.34'	0.37'	0.42'	0.47'	0.52'	0.57'	0.63'	0.70'	0.78'
6.2'	0.32'	0.35'	0.39'	0.44'	0.49'	0.55'	0.60'	0.67'	0.75'	0.82'	0.90'	1.00'	1.10'	1.21'
7.9'	0.52'	0.57'	0.62'	0.70'	0.77'	0.87'	0.95'	1.06'	1.18'	1.28'	1.41'	1.55'	1.71'	1.87'
10.1'	0.83'	0.91'	0.99'	1.11'	1.23'	1.38'	1.49'	1.67'	1.84'	2.00'	2.19'	2.40'	2.62'	2.86'
12.8'	1.31'	1.44'	1.57'	1.76'	1.93'	2.16'	2.33'	2.60'	2.85'	3.09'	3.36'	3.66'	3.98'	4.32'
16.4'	2.08'	2.28'	2.47'	2.75'	3.02'	3.36'	3.61'	4.00'	4.37'	4.71'	5.10'	5.52'	5.97'	6.43'
20.9'	3.27'	3.57'	3.86'	4.28'	4.68'	5.18'	5.53'	6.09'	6.61'	7.10'	7.64'	8.22'	8.82'	9.43'
26.6'	5.09'	5.54'	5.97'	6.58'	7.16'	7.88'	8.38'	9.17'	9.89'	10.55'	11.28'	12.05'	12.84'	13.63'
33.9'	7.86'	8.52'	9.14'	10.01'	10.83'	11.84'	12.54'	13.61'	14.58'	15.46'	16.41'	17.41'	18.42'	19.42'
43.2'	12.01'	12.94'	13.82'	15.05'	16.18'	17.55'	18.49'	19.91'	21.18'	22.32'	23.53'	24.78'	26.03'	27.25'
55.0'	18.12'	19.42'	20.64'	22.31'	23.83'	25.64'	26.87'	28.71'	30.32'	31.74'	33.25'	34.78'	36.28'	37.72'
70.1'	26.99'	28.76'	30.39'	32.61'	34.59'	36.93'	38.49'	40.78'	42.77'	44.50'	46.31'	48.13'	49.89'	51.56'
89.3'	39.65'	41.99'	44.11'	46.96'	49.47'	52.39'	54.32'	57.11'	59.50'	61.55'	63.67'	65.77'	67.78'	69.67'
113.8'	57.40'	60.39'	63.09'	66.65'	69.74'	73.29'	75.60'	78.91'	81.69'	84.06'	86.48'	88.85'	91.10'	93.19'
145.0'	81.89'	85.61'	88.92'	93.25'	96.96'	101.15'	103.84'	107.66'	110.83'	113.50'	116.20'	118.83'	121.29'	123.56'
184.8'	115.14'	119.65'	123.61'	128.72'	133.04'	137.87'	140.93'	145.24'	148.77'	151.73'	154.69'	157.54'	160.20'	162.63'
235.4'	159.67'	164.98'	169.60'	175.48'	180.41'	185.83'	189.25'	194.01'	197.88'	201.08'	204.28'	207.32'	210.15'	212.72'
300.0'	218.62'	224.71'	229.96'	236.59'	242.07'	248.06'	251.79'	256.95'	261.12'	264.55'	267.94'	271.16'	274.13'	276.81'
