-	f/4	f/4.5	f/5	f/5.6	f/6.3	f/7.1	f/8
3.0'	0.04'	0.05'	0.05'	0.06'	0.06'	0.07'	0.08'
3.8'	0.07'	0.08'	0.08'	0.09'	0.10'	0.12'	0.13'
4.9'	0.11'	0.12'	0.14'	0.15'	0.17'	0.19'	0.22'
6.2'	0.18'	0.20'	0.22'	0.25'	0.28'	0.31'	0.35'
7.9'	0.29'	0.33'	0.36'	0.40'	0.45'	0.50'	0.56'
10.1'	0.47'	0.53'	0.58'	0.65'	0.72'	0.81'	0.90'
12.8'	0.76'	0.85'	0.93'	1.04'	1.16'	1.29'	1.43'
16.4'	1.22'	1.36'	1.49'	1.65'	1.84'	2.04'	2.26'
20.9'	1.94'	2.16'	2.37'	2.62'	2.90'	3.21'	3.55'
26.6'	3.08'	3.42'	3.74'	4.12'	4.55'	5.02'	5.52'
33.9'	4.86'	5.37'	5.86'	6.43'	7.07'	7.76'	8.49'
43.2'	7.60'	8.36'	9.09'	9.93'	10.86'	11.86'	12.92'
55.0'	11.78'	12.90'	13.97'	15.19'	16.51'	17.93'	19.40'
70.1'	18.07'	19.70'	21.22'	22.94'	24.79'	26.73'	28.73'
89.3'	27.42'	29.71'	31.83'	34.19'	36.71'	39.31'	41.96'
113.8'	41.08'	44.22'	47.10'	50.25'	53.58'	56.98'	60.37'
145.0'	60.71'	64.90'	68.70'	72.80'	77.06'	81.36'	85.58'
184.8'	88.44'	93.88'	98.73'	103.92'	109.23'	114.50'	119.62'
235.4'	126.96'	133.81'	139.84'	146.20'	152.63'	158.93'	164.96'
300.0'	179.60'	187.99'	195.28'	202.86'	210.43'	217.76'	224.69'
